Player,Team,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Birth country,Passport country,Foot,Height,Weight,On loan
I. López,Utebo,CF,24,0,,14,412,1,1.44,Spain,Spain,right,186,78,no
Unai Vélez,Gernika,"RW, LCMF, RCMF",24,0,,13,314,1,0.26,Spain,Spain,right,183,76,no
Oier López,Cultural Leonesa,LB,24,0,2027-06-30,10,426,0,0.04,Spain,Spain,left,178,62,no
Asier Pérez,Lorca Deportiva,LCB,22,0,2027-06-30,4,240,0,0.0,Spain,Spain,right,187,77,no
Asier Osambela,Osasuna Promesas,"AMF, RCMF, CF",21,0,2029-06-30,31,1420,2,2.66,Spain,Spain,right,186,77,no
Adama Boiro,Athletic Club,LB,24,0,2029-06-30,24,1366,0,0.08,Senegal,"Senegal, Spain",left,183,75,no
Xabi Irurita,Alcorcón,"RB, LB",24,0,2027-06-30,8,515,0,0.05,Spain,Spain,right,185,75,no
Jon Balda,Real Sociedad B,"LW, RW, LWB",24,0,2028-06-30,5,91,0,0.58,Spain,Spain,left,174,67,no
A. Teijeira,Tudelano,AMF,24,0,,25,718,1,0.65,Spain,Spain,left,189,79,no
Jon Magunazelaia,Eibar,"CF, LW, LCMF",24,0,2028-06-30,31,2456,7,5.04,Spain,Spain,right,181,75,no
Jon Gorrotxategi,Real Sociedad,"DMF, LCMF, RCMF",24,0,2030-06-30,34,2737,2,0.91,Spain,Spain,right,177,67,no
Álex Carbonell,Torreense,RB,25,0,,15,611,0,0.33,Spain,Spain,right,172,67,no
Ekain Azkune,Racing Ferrol,"CF, RAMF",25,0,2027-06-30,24,727,4,1.96,Spain,Spain,right,180,73,no
Julen Agirre,Eibar B,"AMF, LCMF, CF",22,0,,18,610,0,0.79,Spain,Spain,right,173,65,no
Antonio Espigares,Gil Vicente,"RCB, LCB, CB",21,0,2029-06-30,25,1676,1,0.35,Spain,Spain,right,187,78,no
Gerard Martín,Barcelona,"LCB, LB",24,0,2028-06-30,36,3051,0,1.03,Spain,Spain,left,186,76,no
V. Kopotun,Alcorcón,"RW, LW, CF",25,0,2030-06-30,9,158,2,0.41,Ukraine,Ukraine,right,0,0,no
L. Guèye,Simba,"LW, LAMF, RW",23,0,,17,440,0,0.09,Senegal,Senegal,left,173,70,no
Miguel Román,Celta de Vigo,"DMF, LCMF, RCMF",23,0,2028-06-30,38,3342,1,0.98,Spain,Spain,right,178,70,no
David Vilán,Sarriana,"CF, LW",23,0,,17,710,1,0.73,Spain,Spain,right,0,0,no
Marvel,Leganés,"LCB, LB",23,0,2028-06-30,31,2718,3,1.9,Morocco,"Morocco, Spain",left,184,80,no
Iker Bravo,Udinese,CF,21,0,2028-06-30,25,990,3,1.72,Spain,Spain,right,182,82,no
Mario Martín,Getafe,"DMF, RCMF",22,0,2030-06-30,30,2712,0,0.81,Spain,Spain,right,178,74,no
Emi Hernández,Cacereño,"RB, RW",25,0,2027-06-30,2,51,0,0.0,Spain,"Spain, Argentina",right,175,70,no
S. Faye,Sporting CP,LW,23,0,2030-06-30,29,2138,1,3.5,Senegal,Senegal,right,179,70,no
Iker Navarro,UD San Pedro,LDMF,22,0,,2,24,0,0.0,Spain,Spain,,0,0,no
Pimienta,UD San Pedro,"LAMF, LW, RW",22,0,,4,59,0,0.23,Spain,Spain,,0,0,no
Jorge Moreno,Cádiz,RCB,24,0,,29,2483,0,0.88,Spain,Spain,right,184,78,no
David Larrubia,Málaga,"RW, RAMF",24,0,2028-06-30,36,2608,4,3.37,Spain,Spain,left,172,59,no
Rubén Torres,Getafe B,"LWB, LB, LW",24,0,,15,550,2,0.46,Spain,Spain,right,174,67,no
Fermín López,Barcelona,"LW, AMF, CF",23,0,2031-06-30,37,2794,12,8.88,Spain,Spain,right,174,64,no
Antonio Cañete,,RCB,24,0,,3,97,0,0.09,Spain,Spain,right,197,85,no
Álex Macías,Extremadura 1924,LB,24,0,2027-06-30,17,1598,0,0.16,Spain,Spain,left,0,0,no
Jota López,Mérida AD,"RW, LAMF, LCMF",23,0,2028-06-30,18,1117,3,1.58,Spain,Spain,right,0,0,no
