Player,Team,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Birth country,Passport country,Foot,Height,Weight,On loan
J. Ankersen,,"LW, RW, LAMF",35,300000,,27,1522,2,3.11,Denmark,Denmark,right,179,71,no
S. Tibbling,Fram,"RW, LW, LAMF",31,300000,,26,1255,0,0.49,Sweden,Sweden,right,175,74,no
F. Lauenborg,Randers,"LCMF, RCMF",28,300000,2028-06-30,27,1863,0,1.85,Denmark,Denmark,left,181,74,no
A. Oggesen,Sønderjyske,"LCMF, RCMF",32,300000,2027-06-30,22,812,0,1.03,Denmark,Denmark,right,173,71,no
R. Thelander,Hillerød,CB,35,300000,2028-06-30,27,2622,3,1.52,Denmark,Denmark,right,191,87,no
A. Jacobsen,Vejle,CF,36,300000,,6,453,0,0.65,Denmark,Denmark,right,182,77,no
K. Kusk,Vendsyssel,"CF, LWF",34,300000,,27,1488,4,2.65,Denmark,Denmark,left,180,67,no
K. Larsen,,RCB,33,300000,,22,2059,0,0.34,Denmark,Denmark,right,191,82,no
H. Bernat,Karlsruher SC,GK,25,300000,,26,2512,0,0.0,Denmark,"Denmark, Poland",right,192,88,no
P. Ankersen,Nordsjælland,RB,35,300000,2027-06-30,28,2141,1,1.34,Denmark,Denmark,right,180,73,no
N. Boilesen,,LCB,34,300000,,26,2340,0,0.08,Denmark,Denmark,left,186,75,no
D. Granli,,"RCB, LCB",32,275000,,28,2446,1,1.21,Norway,Norway,right,190,84,no
A. Kamara,,CF,31,250000,,14,799,6,5.31,Sierra Leone,Sierra Leone,right,182,75,no
M. Hannesbo,Vendsyssel,"LWB, LB, CF",24,250000,2028-06-30,12,237,0,0.03,Denmark,Denmark,left,185,76,no
K. Mensah,,"LWB, RWB, LB",35,250000,,20,1885,1,0.95,Denmark,"Denmark, Ghana",right,173,72,no
A. Fofana,,LCMF,25,250000,,1,9,0,0.0,Côte d'Ivoire,Côte d'Ivoire,right,178,73,no
G. Marcussen,Fredericia,"AMF, RWF",26,250000,2026-06-30,3,37,0,0.15,Denmark,Denmark,right,178,70,no
K. Kristinsson,Breidablik,"CF, LWF",26,250000,2026-12-31,20,739,0,1.04,Iceland,Iceland,left,190,75,no
M. Jevtović,Borac Čačak,RW,33,250000,2028-06-30,1,8,0,0.0,Serbia,Serbia,right,184,77,no
E. Ofori,Atyrau,"LCMF, LDMF, RCMF",31,250000,2026-12-31,14,1039,0,0.01,Ghana,Ghana,left,172,74,no
A. Okosun,Hvidovre,"RDMF, RCMF, LDMF",33,250000,,21,1212,0,0.58,Denmark,Denmark,right,197,85,no
E. Babayan,,"LAMF, LW",30,250000,,13,754,0,0.6,Denmark,"Denmark, Armenia",left,180,73,no
Zeca,,"LDMF, LCMF, DMF",37,250000,,11,985,1,0.15,Portugal,"Portugal, Greece",right,182,67,no
M. James,,"CB, LCB, RCB",32,250000,,13,1119,0,0.05,Dominica,"Dominica, Canada",right,193,81,no
A. Andresen,Silkeborg,GK,20,200000,2029-06-30,1,96,0,0.0,Denmark,Denmark,right,199,85,no
K. Babacar,Sarıyer,CF,33,200000,2026-06-30,14,621,3,4.07,Senegal,"Senegal, Italy",right,185,85,no
E. Marxen,,LCB,35,200000,,22,1617,0,0.62,Denmark,Denmark,left,185,80,no
Ali Adnan,Al Wehda,"LB, LWB",31,200000,2026-06-30,1,34,0,0.0,Iraq,Iraq,left,185,76,no
L. Jensen,Middelfart,RWF,31,200000,,4,122,0,0.0,Denmark,Denmark,right,185,75,no
Z. Duncan,Louisville City,"LCMF, DMF",25,200000,2026-11-30,6,204,0,0.0,Australia,Australia,right,183,75,no
B. Kopplin,,"RB, LB",37,200000,,29,2603,0,1.33,Germany,Germany,right,184,80,no
D. Prosser,Tatabánya,"RWF, LW, RW",31,200000,,11,595,2,1.24,Hungary,Hungary,left,178,65,no
S. Grytebust,,GK,36,200000,,10,955,0,0.0,Norway,Norway,right,187,82,no
Dudu,Estrela Amadora,GK,27,200000,2028-06-30,5,477,0,0.0,Germany,"Germany, Brazil",right,196,89,no
C. Gammelgaard,Vejle,"RCMF, CF",23,200000,2028-06-30,2,41,0,0.01,Denmark,Denmark,left,185,74,no
M. Albornoz,,"LB, LWB",35,200000,,13,1090,1,0.87,Sweden,"Sweden, Chile",left,180,80,no
J. Skjelvik,Stabæk,LB,35,200000,2026-12-31,29,2336,3,0.67,Norway,Norway,left,184,77,no
V. Davidsen,NSÍ,"LB, LCB",35,200000,,12,920,0,0.02,Faroe Islands,Faroe Islands,left,177,72,no
M. Drammeh,Universitatea Cluj,"LCMF, RCMF, RDMF",27,200000,2027-06-30,21,1440,1,3.47,France,"France, Gambia",left,188,80,no
L. Hetemi,Vejle,"RCMF, LCMF, DMF",26,200000,2028-06-30,22,1142,0,0.04,Albania,"Albania, Denmark",right,170,67,no
A. D'Alberto,,"RB, RWB",31,175000,,19,1369,0,0.62,Congo DR,"Congo DR, Belgium",right,178,69,no
L. Hägg-Johansson,Elfsborg,GK,32,175000,2026-12-31,1,99,0,0.0,Sweden,Sweden,right,189,79,no
M. Ndione,,CF,26,175000,,2,68,0,0.0,Sweden,"Sweden, Senegal",right,192,88,no
Vágner Love,Retrô,"CF, LWF",41,150000,,9,150,1,0.94,Brazil,Brazil,right,172,72,no
Rufo,,"CF, RCMF",33,150000,,6,184,0,0.13,Spain,Spain,left,177,73,no
C. Gedsted Hansen,07 Vestur,"RWB, LWB, RB",24,150000,,7,169,0,0.87,Denmark,Denmark,right,174,70,no
E. Dall,Fredericia,RCMF,23,150000,2027-06-30,1,11,0,0.0,Denmark,Denmark,right,0,0,no
N. Thomsen,,"LCMF, RCMF",32,150000,,14,1004,1,0.63,Denmark,Denmark,right,180,75,no
E. Berggreen,,CF,32,150000,,5,383,4,1.45,Denmark,"Denmark, Croatia",right,193,89,no
G. Dahl,Vejgaard B,DMF,21,150000,,1,11,0,0.0,Denmark,Denmark,right,178,0,no
A. Juel Andersen,,"LCB, RB",34,150000,,18,1432,1,0.48,Denmark,Denmark,right,190,84,no
E. Andersson,Olympic,RCB,28,150000,,2,92,0,0.0,Sweden,Sweden,right,187,82,no
A. Calisir,,LCB,35,150000,,17,1457,0,0.06,Sweden,"Sweden, Armenia",right,187,76,no
R. Hassan,,"RCMF, RWF, RW",35,150000,,26,1236,1,1.51,Nigeria,Nigeria,right,172,64,no
D. Vinicius,Shijiazhuang Gongfu,CF,31,150000,,1,10,0,0.0,Brazil,"Brazil, Nigeria",left,194,100,no
J. Simonsen,Fremad Amager,"LW, RB, LWF",30,150000,,13,860,1,1.76,Denmark,"Denmark, Haiti",right,184,76,no
V. Mpindi,,DMF,29,150000,,16,1376,1,1.08,Cameroon,Cameroon,right,190,85,no
H. Hansson,KÍ,"LW, LCMF",33,150000,,6,571,1,0.24,Faroe Islands,Faroe Islands,right,182,77,no
A. Noshe,AaB,RWB,20,150000,2029-06-30,1,7,0,0.0,Denmark,Denmark,right,174,67,no
Raúl Albentosa,,"CB, LCB",37,150000,,13,1238,2,1.08,Spain,Spain,right,192,89,no
J. Hansen,AGF,GK,40,100000,2027-06-30,31,3051,0,0.0,Denmark,Denmark,right,188,78,no
D. Gadegaard Andersen,Esbjerg,GK,24,100000,2028-06-30,1,97,0,0.0,Denmark,Denmark,right,191,80,no
V. Sadrifar,BFC Dynamo,LCMF,24,100000,2027-06-30,1,14,0,0.0,Denmark,"Denmark, Iran",left,186,0,no
