Player,Team,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Birth country,Passport country,Foot,Height,Weight,On loan
B. Sánchez,Deportivo Pasto,"DMF, LCMF",23,150000,,2,57,0,0.21,Colombia,Colombia,,0,0,no
Diego Mendoza,Deportivo Pereira,"LCMF, CB, LDMF",25,150000,2026-12-31,19,1439,0,0.0,Colombia,Colombia,right,177,71,yes
C. Cantillo,Barranquilla,"RW, RAMF, LW",23,150000,,23,1980,3,3.57,Colombia,Colombia,left,176,73,no
Jesús Díaz,Independiente Yumbo,"RW, LAMF, LWB",22,150000,2026-12-31,14,646,1,0.84,Colombia,Colombia,left,173,66,yes
J. Churi,,CF,23,150000,,12,402,0,1.16,Colombia,Colombia,,0,0,no
K. Nuñez,Achuapa,LB,24,150000,2026-06-30,14,1339,0,0.48,Colombia,Colombia,left,173,0,no
F. Delgado,Deportivo Pereira,LB,27,150000,2026-12-31,2,114,1,0.0,Colombia,Colombia,left,174,67,no
E. Sarria,Patriotas Boyacá,,25,150000,,1,21,0,0.0,Colombia,Colombia,left,0,0,no
J. Pimentel,Boyacá Chicó,"LW, LWF, RW",24,150000,,17,953,2,2.15,Colombia,Colombia,right,176,68,no
B. Moreno,Santa Cruz,CF,27,150000,,19,1247,2,4.18,Colombia,Colombia,right,185,79,no
P. Rodríguez,Retrô U20,"RW, RB, RWF",20,150000,2029-02-03,4,216,1,0.07,Colombia,Colombia,,0,0,no
J. Rueda,Real Santander,"CF, RWF",25,150000,,20,1523,3,4.73,Colombia,Colombia,right,176,70,no
Q. Hurtado,Mosta,RB,27,150000,,8,428,0,0.17,Colombia,Colombia,right,180,0,no
J. Pajaro,Alexandreia,"CF, LW, RW",21,150000,2027-06-30,24,1381,4,2.42,Colombia,Colombia,,0,0,no
J. Medranda,Al Mosul,LCB,24,150000,2027-06-30,12,1146,2,1.59,Colombia,Colombia,left,186,78,no
E. Cuernú,,"RW, RB, RAMF",29,125000,,26,1791,3,2.86,Colombia,Colombia,,170,60,no
J. Cuero,Alianza Universidad,RB,36,125000,2026-12-31,5,198,0,0.0,Colombia,"Colombia, Peru",right,184,80,no
E. Mosquera,Delfines Del Este,RCB,36,125000,,18,1701,0,0.64,Colombia,Colombia,right,187,90,no
Jefferson Murillo,Moca,LB,34,125000,,3,264,0,0.12,Colombia,Colombia,left,171,75,no
Y. Salas,,DMF,29,125000,,17,817,1,0.23,Colombia,Colombia,right,177,0,no
C. Molina,,"RB, DMF",29,125000,,27,1816,0,0.21,Colombia,Colombia,right,172,0,no
Y. Carabalí,Sacachispas,"RDMF, RCMF, DMF",32,125000,2027-06-30,22,1242,0,1.32,Colombia,Colombia,right,180,0,no
A. Dussan,,,25,125000,,1,3,0,0.0,Colombia,Colombia,,196,80,no
S. Pabón,Deportes Quindío,GK,30,100000,,9,854,0,0.0,Colombia,Colombia,right,189,76,no
A. Mejía,Independiente Yumbo,"LCB, CB, RCB",29,100000,,24,2179,1,1.2,Colombia,Colombia,right,184,81,no
M. Mosquera,,LCB,33,100000,,23,2220,0,0.9,Colombia,Colombia,left,179,72,no
R. Castillo,,"AMF, RWF, RW",35,100000,,22,1405,3,3.04,Colombia,Colombia,left,170,70,no
J. Wallens,Alianza,GK,33,100000,2026-12-31,6,507,0,0.0,Colombia,Colombia,right,190,75,no
J. Segura,,"LCB, RCB, CB",35,100000,,34,3078,1,1.92,Colombia,Colombia,right,185,76,no
J. Scott,,"DMF, LCMF, RDMF",31,100000,,19,820,0,0.26,Colombia,Colombia,right,0,0,no
C. Mina,,"RAMF, CF, RWF",29,100000,,13,951,3,1.38,Colombia,Colombia,right,181,72,no
D. Vega,Hankook Verdes,"CF, RAMF",30,100000,,22,655,1,1.72,Colombia,Colombia,right,174,66,no
A. Escobar,Real Cartagena,"LB, LWB, LW",29,100000,2026-12-31,19,768,0,0.57,Colombia,Colombia,left,0,0,no
C. Hinestroza,Fortaleza,LB,36,100000,,12,917,0,0.4,Colombia,Colombia,left,172,71,no
L. García,Atlántico,"LW, RW, CF",31,100000,,21,798,0,1.72,Colombia,Colombia,right,178,75,no
J. Montes,Técnico Universitario,CF,29,100000,2026-12-31,17,729,1,2.31,Colombia,Colombia,right,187,0,no
J. Ramírez,Cúcuta Deportivo,GK,29,100000,,9,764,0,0.0,Colombia,Colombia,right,181,0,no
C. Moya,,RCB,28,100000,,22,1882,0,0.67,Colombia,Colombia,right,194,0,no
