Player,Team,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Birth country,Passport country,Foot,Height,Weight,On loan
E. Granados,Cañuelas,"DMF, LCMF",24,0,,2,122,0,0.0,Colombia,Colombia,right,0,0,no
F. Lando,Argentino Quilmes,"RB, RWB",27,0,2026-12-31,5,324,0,0.0,Argentina,Argentina,right,176,70,no
G. Navarro,,"LAMF, LWB, RAMF",27,0,,7,198,0,0.87,Argentina,Argentina,left,0,0,no
L. Zannier,Talleres Remedios,"AMF, LCMF",26,0,2026-12-31,2,22,0,0.0,Argentina,Argentina,right,180,75,no
L. Díaz,,LW,23,0,,1,11,0,0.0,Argentina,Argentina,,0,0,no
D. Rostagno,Estudiantes Caseros,"CF, AMF",24,0,,12,313,0,0.31,Argentina,Argentina,right,0,0,no
A. Stancato,Olimpo,"RCMF, LCMF",27,0,2026-12-31,11,447,0,0.14,Argentina,Argentina,right,182,0,no
A. Vega,Defensores Belgrano VR,"CF, LB",26,0,,3,45,0,0.0,Argentina,Argentina,,0,0,no
M. Landaburu,Sportivo Italiano,"CF, AMF",25,0,2026-12-31,1,29,0,0.08,Argentina,Argentina,left,182,82,no
L. Martens,,LW,27,0,,1,24,0,0.0,Argentina,Argentina,,182,78,no
F. Fernández,,"CB, RCB, LCB",26,0,,5,210,0,0.0,Argentina,Argentina,right,0,0,no
Guillermo Santillán,,"RCMF, LCMF, DMF",27,0,,25,1443,0,0.29,Argentina,Argentina,right,177,67,no
T. Beltrán,,CF,25,0,,26,1447,2,2.31,Argentina,Argentina,right,176,76,no
M. Palmieri,,"LCB, RCB, RB",26,0,,11,721,0,0.0,Argentina,Argentina,right,183,0,no
F. Leiva,,"LWB, LB, LW",25,0,,28,2291,0,1.16,Argentina,Argentina,right,178,70,no
Brian Maidana,,"CF, RW",26,0,,13,600,0,0.6,Argentina,Argentina,right,170,63,no
J. Mendoza,Club Atlético Güemes,CF,27,0,2026-12-31,6,105,0,0.03,Argentina,Argentina,right,0,0,no
A. Vallejos,Crucero del Norte,"RB, RW",27,0,,3,53,0,0.15,Argentina,Argentina,right,0,0,no
F. Benítez,Temperley,"RW, RCMF",24,0,2026-12-31,5,97,0,0.0,Argentina,Argentina,right,169,60,yes
A. Luna,Instituto,"CF, AMF",22,0,2029-12-31,27,1133,1,2.53,Argentina,Argentina,right,174,71,no
Gastón Tellechea,KÍ,RCB,26,0,2026-12-31,16,1289,0,0.33,Argentina,Argentina,right,188,84,no
Roque,Atlético Rafaela Res.,LB,26,0,2026-12-31,22,1615,0,0.37,Argentina,Argentina,,0,0,no
F. Aguirre,Independiente Chivilcoy,"LW, RCMF",26,0,2026-12-31,5,224,0,0.06,Argentina,Argentina,right,175,66,no
D. Núñez,LDU Portoviejo,"LCMF, LAMF, CF",26,0,2026-12-31,5,51,0,0.0,Argentina,Argentina,right,178,71,no
E. Arreguin,Fénix,"RW, RAMF",27,0,,26,1685,2,1.84,Argentina,Argentina,right,190,73,no
J. Kruszelnicki,Tristán Suárez Res.,RCB,24,0,,1,7,0,0.0,Argentina,Argentina,right,186,75,no
G. Albornoz,,RB,24,0,,2,55,0,0.0,Argentina,Argentina,right,184,0,no
F. Garay,,CF,27,0,,9,197,0,0.29,Argentina,Argentina,right,186,78,no
L. Melgarejo,,"RW, LW, AMF",27,0,,15,861,0,1.09,Argentina,Argentina,right,0,0,no
P. Valenzuela,,"RCMF, LCMF",25,0,,4,91,0,0.01,Argentina,Argentina,,0,0,no
S. Sayago,,"DMF, RCMF",26,0,,10,343,1,0.18,Argentina,Argentina,right,0,0,no
D. Cardozo,Brown de Adrogué,LB,25,0,2026-12-31,13,809,0,0.03,Argentina,Argentina,left,171,72,no
A. Morales,Estudiantes Río Cuarto,"RAMF, RW, LW",27,0,2026-12-31,19,1101,3,0.9,Argentina,Argentina,right,170,63,no
Agustín Ayala,,"RW, AMF",23,0,,2,20,0,0.0,Argentina,Argentina,,0,0,no
L. Cajes,Mar de Fondo,"RW, CF, RWB",26,0,2026-12-31,20,601,0,0.73,Argentina,Argentina,right,167,0,no
E. Vallejos,Villa Dálmine Res.,RWB,23,0,,1,17,0,0.0,Argentina,Argentina,,0,0,no
T. Garro,Costa Brava,"LW, LB, LCMF",26,0,2026-12-31,8,130,0,0.0,Argentina,Argentina,left,173,0,no
R. Ramírez,Comunicaciones,"RW, RWF, RAMF",27,0,2027-12-31,9,750,1,1.87,Argentina,Argentina,left,168,66,yes
D. Meza,,"LCMF, LW",27,0,,3,85,0,0.0,Argentina,Argentina,,0,0,no
L. Sesano,,"LCMF, AMF",23,0,,4,147,0,0.0,Argentina,Argentina,right,182,66,no
F. Esposito,,CF,26,0,,4,205,0,0.36,Argentina,Argentina,right,180,75,no
A. Villagra,,LCB,27,0,,1,40,0,0.0,Argentina,Argentina,left,183,78,no
N. Piethe,Atlas,"RW, RCMF",26,0,2026-12-31,15,462,0,0.17,Argentina,Argentina,right,178,76,no
F. Aranda,Angkor Tiger,"RWF, RW, RAMF",26,0,,7,140,0,0.22,Argentina,Argentina,left,180,79,no
I. Lartirigoyen,San Telmo,RCMF,22,0,,1,18,0,0.0,Argentina,Argentina,,0,0,no
G. Rodríguez,San Lorenzo,"RCMF, RW, LW",26,0,2027-12-31,3,31,0,0.1,Argentina,Argentina,right,178,71,yes
L. Monje,San Martín San Juan,LCMF,24,0,2026-12-31,6,197,0,0.27,Argentina,Argentina,right,168,67,yes
M. Liendo,,"LW, RAMF",26,0,,5,180,1,0.39,Argentina,Argentina,right,169,65,no
A. Cuello,San Lorenzo,"LAMF, RW, RAMF",26,0,2027-12-31,20,851,1,1.78,Argentina,Argentina,right,170,65,no
I. Castro,Atenas,"RB, RAMF, LCMF",25,0,2026-12-31,2,80,0,0.0,Argentina,Argentina,right,0,0,no
K. Caraballo,Ciudad de Bolívar,CF,27,0,2026-12-31,4,166,0,0.07,Argentina,"Argentina, Syria",right,185,0,no
M. Godoy,Colón,"LW, RW, LWF",24,0,2027-12-31,11,929,2,1.84,Argentina,Argentina,right,176,73,yes
N. Cavagnero,Villa Mitre,DMF,26,0,2026-12-31,1,70,0,0.0,Argentina,Argentina,,177,70,no
S. González,,"RWB, RB, RW",26,0,,15,531,1,1.01,Argentina,"Argentina, Peru",right,174,67,no
E. Coacci,Olimpo,"RAMF, LAMF, LW",27,0,2027-12-31,19,721,0,0.7,Argentina,Argentina,right,169,68,no
G. Vega,,LB,26,0,,8,627,0,0.02,Argentina,Argentina,left,0,0,no
S. Barraza,,"RB, CB",27,0,,8,361,0,0.0,Argentina,Argentina,right,185,0,no
J. Villagra,Villa San Carlos,"CF, RAMF",26,0,2026-12-31,19,558,1,1.04,Argentina,Argentina,right,175,67,no
I. Costantino,Danubio,CF,27,0,2026-12-31,20,774,2,2.7,Argentina,Argentina,left,193,0,no
F. González,,"LW, LWB, LAMF",26,0,,25,1602,1,2.65,Argentina,Argentina,left,172,65,no
F. Álvarez,Argentinos Juniors,"RCB, CB",26,0,2029-12-31,28,2555,1,2.09,Argentina,Argentina,right,180,72,no
G. Moreyra,Almirante Brown,"LAMF, RW, LW",26,0,,12,613,1,0.52,Argentina,Argentina,right,172,67,no
I. Tapia,Barracas Central,"RCMF, LCMF",27,0,2026-12-31,36,3397,5,6.38,Argentina,"Argentina, Italy",right,179,76,no
E. Ybañez,,LB,27,0,,5,283,1,0.31,Argentina,Argentina,left,173,67,no
S. Hernández,Cairese,CF,27,0,,11,359,1,0.33,Argentina,Argentina,right,182,0,no
E. Bahamonde,,CF,27,0,,6,197,1,0.31,Argentina,Argentina,,174,74,no
