Player,Team,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Birth country,Passport country,Foot,Height,Weight,On loan
M. Schwensen,,"RW, CF, RAMF",23,0,,9,381,1,1.22,Denmark,Denmark,left,185,74,no
J. Blach Nielsen,UC Santa Barbara Gauchos,LCB,23,0,,8,389,0,0.0,Denmark,Denmark,right,183,89,no
N. Bonde,,"RW, LCMF, RB",25,0,,10,380,0,0.05,Denmark,Denmark,right,174,0,no
M. Bank,,GK,29,0,,12,1092,0,0.0,Denmark,Denmark,,0,0,no
S. Madsen,,LB,24,0,,21,1407,0,0.5,Denmark,Denmark,left,0,0,no
E. Gärtig,Las Vegas Lights,RCB,23,0,2026-12-31,25,1989,0,0.23,Denmark,Denmark,,0,0,no
L. Pleidrup,,"LB, LAMF",44,0,,17,1114,0,0.9,Denmark,Denmark,left,177,0,no
K. Jensen,Nykøbing,RB,31,0,2027-06-30,31,2810,0,1.07,Denmark,Denmark,right,188,86,no
V. Christiansson,Ariana,"DMF, RDMF, RCMF",28,0,,21,1442,0,0.23,Sweden,Sweden,,189,82,no
M. Carlson,Roskilde,"LDMF, RW, RDMF",27,0,2027-06-30,28,2195,3,1.25,Denmark,Denmark,,186,69,no
A. Hassan,Holbæk B&I,"RAMF, CF",29,0,,28,1823,7,5.36,Denmark,"Denmark, Iraq",right,180,0,no
J. Jensen,Vejgaard B,RAMF,22,0,,1,6,0,0.0,Denmark,Denmark,,0,0,no
Li Sirong,Qingdao Hainiu,RWB,23,0,2027-12-31,1,23,0,0.0,China PR,China PR,right,0,0,yes
E. Nielsen,Kongsvinger,LB,26,0,,29,2533,0,0.67,Denmark,Denmark,left,0,0,no
M. Kjellerup,Brabrand,"RWB, RWF",24,0,,2,32,0,0.12,Denmark,Denmark,right,0,0,no
R. Frantsen,,RB,34,0,,24,1819,0,0.06,Denmark,Denmark,both,185,78,no
W. Ali,Columbus Crew,"CF, LWF, RWF",27,0,2027-12-31,31,2517,14,11.29,Denmark,"Denmark, Palestine",right,187,78,no
A. Hvid,Hørsholm-Usserød,"LAMF, CF",22,0,,11,332,1,0.26,Denmark,Denmark,left,0,0,no
T. Lindegaard Elmelund,Næstved,LCB,21,0,,2,52,0,0.0,Denmark,Denmark,,0,0,no
N. Bagger,Helsingør,"RAMF, RW",20,0,2027-06-30,7,203,1,0.91,Denmark,Denmark,,0,0,no
A. Tomasseli,Næsby,RCB,20,0,,1,95,0,0.02,Denmark,Denmark,right,188,0,no
R. Linden,Marsaxlokk,CF,22,0,2027-06-30,2,85,0,0.07,Denmark,Denmark,,0,0,no
R. Marcus,Moss,"RW, RCMF, AMF",22,0,2027-12-31,8,151,0,0.4,Denmark,Denmark,right,0,0,no
H. Petersen,Helsingør,GK,24,0,,8,760,0,0.0,Denmark,Denmark,left,0,0,no
J. Schoop,,"AMF, RCMF",37,0,,28,1546,3,0.85,Denmark,Denmark,left,176,70,no
N. Geertsen,,RCB,35,0,,25,2103,1,1.31,Denmark,Denmark,right,185,81,no
M. Knudsen,Helsingør,RB,33,0,2027-06-30,31,2570,3,1.99,Denmark,Denmark,right,185,0,no
H. Meister,Pisa,CF,22,0,2028-06-30,16,1089,5,4.22,Denmark,"Denmark, Cameroon",right,193,86,no
P. Medina,,"RWF, AMF",23,0,,3,78,0,0.01,Denmark,Denmark,,0,0,no
H. Høllsberg,Kolding IF,"LCMF, RCMF",24,0,2028-06-30,3,29,0,0.0,Denmark,Denmark,right,180,70,no
M. Lejbowicz,Seton Hall Pirates,"CF, LW, RWF",23,0,,14,281,0,0.78,Denmark,Denmark,,0,0,no
O. Funch,,GK,25,0,,5,452,0,0.0,Denmark,Denmark,left,196,0,no
D. Boysen,,"RDMF, LDMF",35,0,,17,689,0,0.03,Denmark,"Denmark, Israel",both,179,71,no
P. Kanstrup,,"RCB, CB",37,0,,21,1843,0,0.2,Denmark,Denmark,right,188,81,no
M. Gundelach,,RB,34,0,,10,732,0,1.07,Denmark,Denmark,right,172,65,no
C. Boateng,Fremad Amager,"RAMF, RW",31,0,2027-06-30,15,1268,4,3.13,Denmark,"Denmark, Ghana",,0,0,no
P. Jul Nielsen,Rødovre,"LB, LCB, RAMF",30,0,,8,384,0,0.0,Denmark,Denmark,left,0,0,no
M. Basse,,"RDMF, RCMF, DMF",29,0,,14,737,0,0.01,Denmark,Denmark,right,180,74,no
B. Istrefi,Lyseng,AMF,22,0,,1,14,0,0.29,Denmark,Denmark,,0,0,no
P. Banda,,RB,23,0,,6,390,0,0.22,Denmark,Denmark,,0,0,no
