Player,Team,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Birth country,Passport country,Foot,Height,Weight,On loan
K. Valencia,Internacional Palmira,"CF, RAMF",24,350000,2026-12-31,31,1955,2,3.69,Colombia,Colombia,right,184,79,no
J. Colorado,Monagas,"RB, RDMF, RCMF",25,350000,2026-12-31,27,1756,1,2.24,Colombia,Colombia,right,180,72,yes
H. Palacios,Medellín,RB,26,350000,2026-12-31,12,600,1,0.93,Colombia,Colombia,right,181,74,yes
L. Marquinez,Tolima,GK,23,350000,2029-12-31,3,212,0,0.0,Colombia,Colombia,right,191,83,yes
L. Sánchez,Once Caldas,"LWF, AMF, LW",25,350000,2027-12-31,6,233,1,1.01,Colombia,Colombia,right,173,63,yes
Y. Quiñones,Deportivo Pereira,"LW, LAMF",23,350000,2028-06-30,24,652,1,1.17,Colombia,Colombia,left,173,65,no
A. Arroyo,Fortaleza,"AMF, CF, LCMF",24,350000,2027-06-30,16,721,1,1.64,Colombia,Colombia,right,171,68,no
P. Ortíz,Baník Ostrava,LCB,26,350000,2029-06-30,2,115,0,0.0,Colombia,Colombia,left,190,77,no
C. Lucumí,Medellín,CF,26,350000,2029-12-31,14,784,1,2.28,Colombia,Colombia,right,186,81,no
K. Lugo,Pirata,"RAMF, RW, LW",28,325000,2026-12-31,16,735,1,1.51,Colombia,Colombia,right,180,68,no
R. García,Universidad San Martín,"AMF, LAMF, LW",32,325000,,21,846,1,0.94,Peru,Peru,right,175,71,no
J. Aguirre,Once Caldas,GK,34,300000,2027-06-30,1,97,0,0.0,Colombia,Colombia,right,180,70,no
S. Noreña,Envigado,"LCB, RCB",28,300000,2026-12-31,33,2732,0,0.07,Colombia,Colombia,right,182,74,no
C. Mosquera,FC Cajamarca,GK,31,300000,2026-12-31,19,1851,0,0.0,Colombia,Colombia,right,191,83,no
P. Grazziani,Alianza,GK,31,300000,,4,344,0,0.0,Colombia,Colombia,right,183,75,no
J. Agudelo,Cúcuta Deportivo,CF,33,300000,,8,561,2,2.57,Colombia,Colombia,right,180,70,no
